room_num,ec:8c:a2:f2:7a:b8,fa:8f:ca:54:a2:6d,74:3e:2b:7d:04:d8,74:3e:2b:7d:79:b8,74:3e:2b:be:1f:e8,74:3e:2b:be:1f:e2,74:3e:2b:3d:6d:48,14:2d:27:37:99:60,74:3e:2b:be:9d:68,74:3e:2b:3e:9d:68,74:3e:2b:7e:9d:68,74:3e:2b:be:9d:62,74:3e:2b:7e:88:28,74:3e:2b:be:9c:d2,74:3e:2b:be:9c:d8,74:3e:2b:7e:9c:d8,74:3e:2b:3e:9c:d8,74:3e:2b:be:88:22,74:3e:2b:be:88:28,74:3e:2b:3e:88:28,66:eb:8c:0b:20:6e,74:3e:2b:7d:86:b8,74:3e:2b:bd:7e:18,74:3e:2b:bc:d4:22,74:3e:2b:7c:d4:28,74:3e:2b:3c:d4:28,fa:8f:ca:76:7d:4c,30:46:9a:fb:c5:a1,74:3e:2b:be:c7:18,40:a8:f0:6b:41:44,74:3e:2b:7c:d2:d8,74:3e:2b:3c:d2:d8,fa:8f:ca:52:95:af,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,ec:8c:a2:b2:7a:bc,ec:8c:a2:f2:7a:bc,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:7e:9d:6c,74:3e:2b:3e:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:bd:04:dc,74:3e:2b:3d:04:dc,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:bd:6d:4c,74:3e:2b:7e:9c:dc,de:9f:db:91:0e:dd,74:3e:2b:bd:6f:88,74:3e:2b:7d:6f:88,74:3e:2b:3d:6f:88,74:3e:2b:7e:1f:e8,74:3e:2b:3e:1f:e8,74:3e:2b:bc:d2:dc,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,74:3e:2b:7c:b6:88,74:3e:2b:3c:b6:88,74:3e:2b:bd:85:a2,74:3e:2b:bd:6d:42,74:3e:2b:bc:d2:d2,74:3e:2b:7d:04:dc,74:3e:2b:bd:86:b2,74:3e:2b:3d:86:b8,74:3e:2b:be:c7:12,74:3e:2b:7e:c7:18,74:3e:2b:3e:c7:18,74:3e:2b:fe:1f:ec,74:3e:2b:7c:fb:78,74:3e:2b:3d:85:a8,74:3e:2b:bc:fb:7c,74:3e:2b:3d:7e:18,74:3e:2b:7d:6d:48,f8:f5:32:28:2d:c0,74:3e:2b:7c:fb:7c,74:3e:2b:bd:79:b2,3c:17:10:94:eb:8e,74:3e:2b:bd:7e:12,74:3e:2b:7d:7e:18,74:3e:2b:be:a3:38,74:3e:2b:bd:6f:82,74:3e:2b:bc:b6:82,b8:ee:0e:d6:53:72,74:3e:2b:3d:79:b8,74:3e:2b:3c:fb:78,32:cd:a7:fc:3b:2b,ec:8c:a2:b2:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:bd:6e:62,74:3e:2b:7d:6e:68,74:3e:2b:3d:6e:68,2c:30:33:f8:b8:b9,74:3e:2b:bd:04:d2,74:3e:2b:3d:04:d8,74:3e:2b:7c:d2:dc,a8:9a:93:8a:84:7e,74:3e:2b:3c:d2:dc,b4:2a:0e:10:47:0a,78:29:ed:19:cb:ef,74:3e:2b:bd:6e:68,58:20:b1:3c:74:1f,b4:2a:0e:c7:0f:ae,74:3e:2b:bc:fb:72,ec:8c:a2:72:7a:b8,c8:3a:35:90:b2:11,10:86:8c:18:48:e8,78:29:ed:4c:b2:51,2c:30:33:ff:a5:f9,74:3e:2b:be:a3:32,a0:8c:fd:6c:7d:10,58:90:43:45:2b:e4,74:3e:2b:3e:a3:38,30:46:9a:fb:c5:a3,74:3e:2b:be:c7:58,e6:f5:32:28:2d:c3,74:3e:2b:bc:b6:8c,74:3e:2b:be:c7:52,1c:b0:44:cd:a2:48,74:3e:2b:7e:c7:58,ae:63:be:86:5c:03,a0:64:8f:f7:d1:1d,74:3e:2b:7c:d5:08,40:49:0f:c3:fa:7b,74:3e:2b:3e:c7:58,74:3e:2b:fe:88:2c,74:3e:2b:7e:a3:38,74:3e:2b:fe:c7:5c,74:3e:2b:be:c7:5c,74:3e:2b:3c:b6:8c,74:3e:2b:7d:6a:e8,74:3e:2b:7c:b6:8c,74:3e:2b:7e:c7:5c,74:3e:2b:3e:c7:5c,74:3e:2b:7e:88:2c,74:3e:2b:be:88:2c,74:3e:2b:7d:05:58,74:3e:2b:3e:88:2c
room_num,APRoot,Acton Creamcecf.d031,APRoot,APRoot,APRoot,Doric on Lane Community Wifi,415,HP-Print-60-LaserJet 1102,APRoot,215,315,Doric on Lane Community Wifi,311,Doric on Lane Community Wifi,APRoot,314,214,Doric on Lane Community Wifi,APRoot,211,DIRECT-8C0BA06E,APRoot,APRoot,Doric on Lane Community Wifi,APRoot,404,Austin’s TV.b,Netgear-Irish,APRoot,HP-Print-44-Officejet 4630,APRoot,401,Polk MagniFi Mini-4499.l001,415,Doric on Lane Community Wifi,312,APRoot,APRoot,313,213,Doric on Lane Community Wifi,212,Doric on Lane Community Wifi,APRoot,412,Doric on Lane Community Wifi,APRoot,315,215,Doric on Lane Community Wifi,APRoot,414,Doric on Lane Community Wifi,APRoot,Doric on Lane Community Wifi,APRoot,302,202,Doric on Lane Community Wifi,APRoot,314,Doric on Lane Community Wifi,APRoot,214,University Area Wireless,APRoot,301,201,309,209,APRoot,APRoot,404,Doric on Lane Community Wifi,413,APRoot,409,Doric on Lane Community Wifi,Doric on Lane Community Wifi,Doric on Lane Community Wifi,407,Doric on Lane Community Wifi,412,Doric on Lane Community Wifi,313,213,APRoot,APRoot,413,APRoot,202,APRoot,ATTutJk4Na,402,Doric on Lane Community Wifi,CM-2G,Doric on Lane Community Wifi,302,APRoot,Doric on Lane Community Wifi,Doric on Lane Community Wifi,Meadenos-2G,414,402,DIRECT-0LM283x Series,312,Doric on Lane Community Wifi,Doric on Lane Community Wifi,304,204,House,Doric on Lane Community Wifi,407,401,MySpectrumWiFi78-2G,Doric on Lane Community Wifi,TC8715D04,MySpectrumWiFif1-2G,APRoot,HP-Print-1F-Officejet 4630,The Lab,Doric on Lane Community Wifi,212,Top 10 Best Wifi Names - 3,ARRIS-48EA,MySpectrumWiFi53-2G,143 W Norwich,Doric on Lane Community Wifi,DIRECT-0F-HP ENVY 5660 series,MySpectrumWiFide-2G,207,Netgear-Irish-5G,APRoot,ATTutJk4Na,APRoot,Doric on Lane Community Wifi,MySpectrumWiFi4a-2G,310,DIRECT-1q-FireTV_9e57,MySpectrumWiFi1f-2G,APRoot,Headquarters,210,APRoot,307,APRoot,310,Doric on Lane Community Wifi,APRoot,409,210,Doric on Lane Community Wifi,211,311,APRoot,Doric on Lane Community Wifi
1,76,26,22,76,32,26,32,24,50,54,54,54,28,106,106,106,106,32,36,26,74,42,40,30,36,30,88,30,68,72,32,34,34,18,22,60,60,74,74,74,74,60,58,30,32,32,34,34,34,34,60,62,62,22,26,30,30,34,34,100,100,100,22,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,46,40,32,24,50,54,54,54,30,112,114,112,112,32,34,26,74,64,40,34,36,34,86,30,72,80,32,34,34,0,0,64,64,72,72,72,72,62,64,0,0,0,32,32,32,32,64,64,64,0,0,28,30,30,30,100,100,100,0,100,26,22,24,26,40,42,18,34,34,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,46,40,32,24,50,54,54,54,30,112,114,114,114,32,34,26,72,64,40,34,36,34,90,30,72,76,32,30,34,0,0,56,56,66,66,66,66,54,54,0,0,0,32,32,32,30,68,68,68,26,24,0,0,0,0,98,98,98,0,98,26,22,24,26,40,42,0,0,0,0,30,24,26,56,38,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,26,40,32,24,50,54,54,54,30,112,118,116,116,32,32,26,72,56,40,34,36,34,90,48,58,70,36,38,34,0,0,60,60,70,70,70,70,60,60,0,0,0,34,32,34,34,62,62,62,0,0,28,0,0,0,98,98,98,24,98,26,22,24,26,40,42,0,32,32,30,30,24,28,56,38,40,0,54,56,56,56,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,26,40,32,24,50,54,54,54,30,114,116,114,114,32,32,26,72,56,40,34,36,34,88,46,66,76,34,38,34,22,0,60,60,70,70,70,68,58,58,30,32,32,32,32,34,32,62,62,62,0,0,26,26,28,30,98,98,100,24,100,26,22,24,26,40,42,0,30,30,28,30,22,28,60,38,38,0,54,56,62,62,62,0,34,60,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,26,40,32,24,50,54,54,54,30,114,116,114,114,32,32,26,72,58,40,34,36,34,92,46,62,76,34,38,34,0,22,58,58,72,68,72,70,58,58,34,32,32,34,36,34,36,62,62,62,0,0,30,28,26,26,100,100,100,22,100,26,22,24,26,40,42,0,0,0,30,32,22,28,58,38,38,0,54,56,58,58,58,0,34,60,0,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,26,40,32,24,50,54,54,54,30,114,112,114,114,32,32,26,72,58,44,34,36,34,76,46,62,74,34,30,34,0,0,58,58,72,72,72,72,58,58,0,0,0,36,34,34,34,62,62,62,0,0,28,28,26,26,98,98,100,24,100,26,22,24,26,40,42,0,0,0,30,30,22,28,58,38,38,0,54,56,58,58,58,0,34,58,0,46,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,24,40,32,24,50,54,54,54,30,114,114,114,114,32,32,26,72,60,44,34,36,34,86,42,54,72,34,38,34,0,24,58,58,70,68,70,72,58,60,32,30,32,32,32,32,32,62,62,62,0,0,26,28,30,26,98,98,100,24,100,26,22,24,26,40,42,0,30,30,32,30,22,28,58,38,38,0,58,56,52,52,52,0,34,58,26,46,36,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,26,44,76,24,40,32,24,50,54,54,54,30,114,102,114,114,32,32,26,68,60,44,34,34,34,86,42,66,70,34,38,34,0,0,58,58,72,72,72,72,58,60,0,0,0,34,34,34,34,64,64,64,26,26,28,28,28,28,98,98,98,22,98,26,22,24,26,40,42,0,0,0,28,30,22,28,58,38,38,26,58,56,60,52,52,0,30,58,0,48,36,26,0,76,22,46,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
