room_num,de:9f:db:91:0e:dd,74:3e:2b:bd:79:b2,74:3e:2b:7d:79:b8,74:3e:2b:3d:79:b8,66:eb:8c:0b:20:6e,fa:8f:ca:76:7d:4c,74:3e:2b:bd:7e:12,74:3e:2b:bd:7e:18,74:3e:2b:7d:7e:18,74:3e:2b:3d:7e:18,74:3e:2b:7d:86:b8,40:a8:f0:6b:41:44,fa:8f:ca:52:95:af,30:46:9a:fb:c5:a1,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,ec:8c:a2:f2:7a:bc,ec:8c:a2:b2:7a:bc,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,30:46:9a:fb:c5:a3,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:7e:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:3e:9d:6c,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,74:3e:2b:bd:6d:4c,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,74:3e:2b:7e:9c:dc,74:3e:2b:7c:b6:88,74:3e:2b:be:88:22,74:3e:2b:be:9d:62,74:3e:2b:7c:d2:d8,ec:8c:a2:b2:7a:b8,ec:8c:a2:72:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:7d:6d:48,74:3e:2b:bc:fb:7c,74:3e:2b:7c:fb:7c,74:3e:2b:7c:fb:78,74:3e:2b:3e:9d:68,74:3e:2b:7e:9d:68,74:3e:2b:be:9d:68,74:3e:2b:be:c7:12,74:3e:2b:be:c7:18,74:3e:2b:7e:c7:18,74:3e:2b:3e:c7:18,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:be:88:28,74:3e:2b:7e:88:28,74:3e:2b:3e:88:28,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:be:c7:52,ec:8c:a2:f2:7a:b8,74:3e:2b:be:1f:e8,74:3e:2b:3e:1f:e8,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:bc:fb:72,74:3e:2b:3c:fb:78,74:3e:2b:be:c7:58,32:cd:a7:fc:3b:2b,74:3e:2b:be:1f:e2,74:3e:2b:be:9c:d8,74:3e:2b:bd:86:b2,74:3e:2b:3d:86:b8,74:3e:2b:bc:d2:dc,74:3e:2b:7c:d2:dc,74:3e:2b:3c:d2:dc,74:3e:2b:be:a3:38,74:3e:2b:7d:04:d8,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:7d:6f:88,74:3e:2b:3d:6f:88,74:3e:2b:be:9c:d2,74:3e:2b:7e:9c:d8,74:3e:2b:3e:9c:d8,1c:b0:44:cd:a2:48,74:3e:2b:bc:b6:8c,74:3e:2b:3c:d2:d8,b4:2a:0e:c7:0f:ae,74:3e:2b:7e:c7:58,74:3e:2b:bc:d4:22,74:3e:2b:7c:d4:28,74:3e:2b:3c:d4:28,74:3e:2b:bd:85:a2,74:3e:2b:3d:85:a8,ae:63:be:86:5c:03,74:3e:2b:bd:6d:42,74:3e:2b:3d:6d:48,74:3e:2b:bd:6e:62,74:3e:2b:bd:6e:68,74:3e:2b:7d:6e:68,14:2d:27:37:99:60,74:3e:2b:3d:6e:68,74:3e:2b:bd:04:d2,74:3e:2b:3d:04:d8,74:3e:2b:7e:1f:e8,c8:3a:35:90:b2:11,78:29:ed:4c:b2:51,74:3e:2b:bd:6f:88,fa:8f:ca:54:a2:6d,74:3e:2b:bc:b6:82,74:3e:2b:3c:b6:88,74:3e:2b:bd:6f:82,a0:64:8f:f7:d1:1d,74:3e:2b:7c:d5:08,40:49:0f:c3:fa:7b,74:3e:2b:bc:d2:d2,74:3e:2b:3e:c7:58,b8:ee:0e:d6:53:72,74:3e:2b:fe:88:2c,74:3e:2b:7e:a3:38,74:3e:2b:3e:a3:38,f8:f5:32:28:2d:c0,74:3e:2b:be:a3:32,74:3e:2b:fe:c7:5c,74:3e:2b:bd:04:dc,a8:9a:93:8a:84:7e,a0:8c:fd:6c:7d:10,2c:30:33:f8:b8:b9,b4:2a:0e:10:47:0a,10:86:8c:18:48:e8,74:3e:2b:be:c7:5c,74:3e:2b:3c:b6:8c,58:90:43:45:2b:e4,74:3e:2b:7d:6a:e8,74:3e:2b:7c:b6:8c,74:3e:2b:7e:c7:5c,74:3e:2b:3e:c7:5c,74:3e:2b:7e:88:2c,74:3e:2b:be:88:2c,74:3e:2b:7d:05:58,74:3e:2b:3e:88:2c
room_num,University Area Wireless,Doric on Lane Community Wifi,APRoot,414,DIRECT-8C0BA06E,Austin’s TV.b,Doric on Lane Community Wifi,APRoot,302,202,APRoot,HP-Print-44-Officejet 4630,Polk MagniFi Mini-4499.l001,Netgear-Irish,APRoot,302,APRoot,312,212,Doric on Lane Community Wifi,Netgear-Irish-5G,APRoot,315,215,APRoot,414,Doric on Lane Community Wifi,Doric on Lane Community Wifi,Doric on Lane Community Wifi,413,APRoot,313,213,Doric on Lane Community Wifi,APRoot,415,Doric on Lane Community Wifi,214,APRoot,Doric on Lane Community Wifi,Doric on Lane Community Wifi,APRoot,312,212,Doric on Lane Community Wifi,APRoot,APRoot,402,APRoot,215,315,APRoot,Doric on Lane Community Wifi,APRoot,313,213,APRoot,314,Doric on Lane Community Wifi,APRoot,311,211,APRoot,412,Doric on Lane Community Wifi,Doric on Lane Community Wifi,APRoot,APRoot,209,202,Doric on Lane Community Wifi,Doric on Lane Community Wifi,402,APRoot,DIRECT-0LM283x Series,Doric on Lane Community Wifi,APRoot,Doric on Lane Community Wifi,412,APRoot,401,Doric on Lane Community Wifi,APRoot,APRoot,APRoot,404,301,201,Doric on Lane Community Wifi,314,214,MySpectrumWiFi4a-2G,APRoot,401,The Lab,310,Doric on Lane Community Wifi,APRoot,404,Doric on Lane Community Wifi,413,DIRECT-1q-FireTV_9e57,Doric on Lane Community Wifi,415,Doric on Lane Community Wifi,APRoot,304,HP-Print-60-LaserJet 1102,204,Doric on Lane Community Wifi,407,309,Top 10 Best Wifi Names - 3,MySpectrumWiFi53-2G,APRoot,Acton Creamcecf.d031,Doric on Lane Community Wifi,409,Doric on Lane Community Wifi,MySpectrumWiFi1f-2G,APRoot,Headquarters,Doric on Lane Community Wifi,210,Meadenos-2G,APRoot,307,207,ATTutJk4Na,Doric on Lane Community Wifi,APRoot,APRoot,MySpectrumWiFi78-2G,DIRECT-0F-HP ENVY 5660 series,House,TC8715D04,ARRIS-48EA,310,Doric on Lane Community Wifi,MySpectrumWiFide-2G,APRoot,409,210,Doric on Lane Community Wifi,211,311,APRoot,Doric on Lane Community Wifi
2,36,96,102,96,46,70,72,68,72,72,46,66,36,62,40,38,50,50,50,50,38,46,46,44,78,78,78,46,38,38,60,68,68,66,42,42,42,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,96,102,96,54,72,72,68,72,72,46,42,38,64,0,0,44,44,44,46,32,42,42,44,82,82,82,44,36,38,66,66,64,64,42,42,44,130,28,28,66,26,68,68,68,54,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,96,98,96,40,70,72,68,72,72,46,48,38,58,0,0,40,40,44,44,34,46,46,46,82,82,82,46,36,38,66,68,66,66,42,42,42,130,28,28,72,26,68,68,68,50,34,34,64,72,72,64,80,78,78,78,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,96,96,96,40,74,72,74,74,72,46,48,38,54,0,0,46,46,46,46,32,46,46,46,82,82,82,46,36,36,68,68,66,68,42,42,42,130,28,28,74,26,68,68,68,50,34,38,64,72,72,60,80,78,78,78,130,130,130,32,32,32,32,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,98,100,98,46,68,72,74,74,72,46,76,38,64,44,0,48,48,48,48,34,44,44,44,80,80,80,44,38,38,68,66,66,68,42,42,44,130,28,30,74,26,68,68,68,50,36,34,60,72,72,60,80,82,80,80,0,0,0,26,28,28,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,96,98,96,48,74,72,74,74,72,46,76,38,58,44,40,46,44,44,44,34,50,48,50,78,78,78,48,38,38,70,70,70,72,0,0,0,130,28,30,74,26,68,68,68,50,36,38,60,72,72,60,80,82,80,80,128,128,130,26,28,28,24,28,28,26,48,32,28,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,98,100,98,48,74,72,74,74,72,46,76,38,58,40,38,44,44,44,46,36,46,46,46,80,80,80,46,38,38,68,70,70,68,0,48,0,130,28,30,70,26,68,68,68,50,34,0,66,70,72,72,80,80,80,80,130,130,130,26,28,28,26,24,26,26,48,28,30,38,40,62,62,32,58,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,98,102,98,48,18,66,52,74,72,44,68,38,58,42,42,40,40,40,40,34,44,44,44,80,80,80,44,36,38,68,68,70,70,46,0,0,130,28,30,70,26,68,68,68,50,34,0,66,70,72,72,80,78,80,80,0,0,0,26,28,28,0,0,0,26,48,28,28,0,0,62,62,32,58,30,56,42,46,26,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,96,100,98,48,70,70,66,70,68,44,70,38,58,44,44,50,44,44,44,34,44,46,46,80,78,78,44,38,38,68,68,70,68,0,0,0,130,28,30,70,26,68,68,68,50,0,0,60,70,72,64,80,82,80,80,0,0,0,26,28,28,0,0,0,26,48,28,28,44,34,60,62,32,58,30,134,42,38,22,24,22,30,34,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
