room_num,40:a8:f0:6b:41:44,14:2d:27:37:99:60,74:3e:2b:3e:9c:d8,74:3e:2b:7e:9c:d8,74:3e:2b:be:9c:d2,74:3e:2b:7c:d4:28,74:3e:2b:3d:7e:18,74:3e:2b:7d:7e:18,74:3e:2b:bd:7e:18,74:3e:2b:bd:7e:12,74:3e:2b:be:9c:d8,74:3e:2b:3c:fb:78,74:3e:2b:7c:fb:78,74:3e:2b:bc:fb:72,74:3e:2b:3d:6d:48,74:3e:2b:7d:6d:48,74:3e:2b:bd:6d:42,fa:8f:ca:52:95:af,30:46:9a:fb:c5:a1,74:3e:2b:3d:86:b8,74:3e:2b:3e:c7:18,74:3e:2b:7e:c7:18,74:3e:2b:be:c7:18,74:3e:2b:be:c7:12,74:3e:2b:be:9d:68,66:eb:8c:0b:20:6e,74:3e:2b:bd:79:b2,74:3e:2b:7d:79:b8,74:3e:2b:3d:79:b8,fa:8f:ca:76:7d:4c,ec:8c:a2:f2:7a:b8,74:3e:2b:bc:fb:7c,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:7c:fb:7c,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7e:9d:6c,74:3e:2b:3e:9d:6c,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:bd:6d:4c,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,74:3e:2b:bd:04:dc,74:3e:2b:7d:04:dc,74:3e:2b:3d:04:dc,74:3e:2b:7e:9c:dc,ec:8c:a2:f2:7a:bc,ec:8c:a2:b2:7a:bc,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,ec:8c:a2:b2:7a:b8,ec:8c:a2:72:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:be:9d:62,74:3e:2b:7e:9d:68,74:3e:2b:3e:9d:68,74:3e:2b:bc:b6:8c,74:3e:2b:7c:b6:88,74:3e:2b:7d:86:b8,74:3e:2b:bc:d4:22,c8:3a:35:90:b2:11,32:cd:a7:fc:3b:2b,74:3e:2b:7d:6e:68,74:3e:2b:3d:6e:68,74:3e:2b:bc:d2:dc,74:3e:2b:3c:d2:dc,74:3e:2b:bc:d2:d2,74:3e:2b:7c:d2:d8,74:3e:2b:3c:d2:d8,74:3e:2b:bd:85:a2,74:3e:2b:3d:85:a8,74:3e:2b:7d:04:d8,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,de:9f:db:91:0e:dd,2c:30:33:f8:b8:b9,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:3c:d4:28,74:3e:2b:bd:6e:62,74:3e:2b:bd:6e:68,74:3e:2b:7c:d2:dc,74:3e:2b:3d:04:d8,74:3e:2b:bd:04:d2,b4:2a:0e:c7:0f:ae,74:3e:2b:bd:86:b2,fa:8f:ca:54:a2:6d,74:3e:2b:be:1f:e8,b8:ee:0e:d6:53:72,74:3e:2b:bd:6f:88,74:3e:2b:7e:a3:38,74:3e:2b:3e:a3:38,74:3e:2b:be:a3:32,74:3e:2b:3d:6f:88,74:3e:2b:bc:b6:82,78:29:ed:4c:b2:51,74:3e:2b:be:88:28,74:3e:2b:be:c7:58,74:3e:2b:bd:6f:82,74:3e:2b:7d:6f:88,74:3e:2b:3c:b6:88,10:86:8c:18:48:e8,58:20:b1:3c:74:1f,74:3e:2b:7c:d5:08,74:3e:2b:be:a3:38
room_num,HP-Print-44-Officejet 4630,HP-Print-60-LaserJet 1102,214,314,Doric on Lane Community Wifi,APRoot,202,302,APRoot,Doric on Lane Community Wifi,APRoot,402,APRoot,Doric on Lane Community Wifi,415,APRoot,Doric on Lane Community Wifi,Polk MagniFi Mini-4499.l001,Netgear-Irish,412,213,313,APRoot,Doric on Lane Community Wifi,APRoot,DIRECT-8C0BA06E,Doric on Lane Community Wifi,APRoot,414,Austin’s TV.b,APRoot,APRoot,APRoot,302,202,Doric on Lane Community Wifi,402,APRoot,315,APRoot,215,Doric on Lane Community Wifi,414,Doric on Lane Community Wifi,APRoot,314,Doric on Lane Community Wifi,APRoot,415,Doric on Lane Community Wifi,APRoot,313,213,Doric on Lane Community Wifi,APRoot,407,Doric on Lane Community Wifi,214,APRoot,312,212,Doric on Lane Community Wifi,312,212,Doric on Lane Community Wifi,APRoot,404,Doric on Lane Community Wifi,315,215,APRoot,APRoot,APRoot,Doric on Lane Community Wifi,Top 10 Best Wifi Names - 3,DIRECT-0LM283x Series,304,204,APRoot,Doric on Lane Community Wifi,Doric on Lane Community Wifi,APRoot,401,Doric on Lane Community Wifi,413,APRoot,Doric on Lane Community Wifi,413,University Area Wireless,House,APRoot,412,Doric on Lane Community Wifi,404,Doric on Lane Community Wifi,APRoot,401,407,Doric on Lane Community Wifi,The Lab,Doric on Lane Community Wifi,Acton Creamcecf.d031,APRoot,Meadenos-2G,APRoot,307,207,Doric on Lane Community Wifi,201,Doric on Lane Community Wifi,MySpectrumWiFi53-2G,APRoot,APRoot,Doric on Lane Community Wifi,301,409,ARRIS-48EA,HP-Print-1F-Officejet 4630,APRoot,APRoot
3,34,28,112,112,112,38,48,46,38,48,108,36,40,34,68,70,68,40,42,28,44,46,46,44,58,24,80,84,80,48,38,34,38,36,36,36,36,56,56,66,56,56,66,66,96,96,96,34,32,34,52,54,54,52,30,30,30,96,32,34,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,34,28,112,112,112,38,48,46,38,48,110,36,40,34,52,56,68,40,42,28,44,46,46,44,58,24,80,84,80,48,46,0,38,34,0,0,34,52,52,66,54,54,66,66,96,0,96,34,34,34,56,56,56,54,32,32,30,98,30,32,30,30,46,46,46,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,34,28,112,112,112,38,44,42,42,42,108,36,40,36,52,56,68,30,42,28,58,58,56,58,58,24,76,80,74,58,46,30,34,34,34,32,32,56,56,60,56,56,60,60,0,0,0,34,0,32,56,56,54,54,30,30,30,104,38,38,38,0,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,34,28,112,112,112,38,44,46,46,46,108,36,40,36,52,56,68,32,54,28,58,58,56,58,46,24,74,80,74,58,46,0,0,0,0,0,28,52,52,56,52,54,56,56,0,0,0,0,0,0,58,56,54,56,30,32,34,98,42,42,40,42,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,42,28,112,112,112,38,42,42,44,42,110,36,34,32,52,56,68,34,40,28,68,68,64,68,60,24,78,84,78,36,46,28,30,30,30,30,28,54,52,56,52,52,56,56,0,0,0,0,0,0,58,56,56,56,32,30,32,106,42,42,40,40,46,46,46,0,0,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,46,26,112,112,112,44,42,42,44,42,110,38,38,32,56,62,54,34,50,28,58,68,64,60,60,24,80,84,80,38,46,32,32,0,0,0,30,56,58,58,58,56,58,58,0,0,0,0,0,0,54,56,54,54,30,30,30,108,46,48,48,46,46,46,46,0,0,64,64,64,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,112,112,112,44,42,42,44,42,104,36,38,32,52,58,50,34,50,28,58,68,64,56,60,24,80,84,80,42,46,0,32,32,32,34,0,56,56,62,56,54,62,62,0,0,0,0,0,0,54,54,52,52,28,30,34,108,46,46,48,44,46,46,46,36,36,64,64,64,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,112,112,112,40,42,42,44,42,112,36,38,32,52,58,50,34,50,28,60,60,56,58,60,24,82,88,82,42,46,28,34,32,32,32,28,56,56,66,56,56,62,62,0,0,0,32,0,0,50,52,52,52,28,28,28,108,46,44,44,46,46,46,46,34,34,64,64,64,0,30,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,106,112,40,42,42,46,42,108,36,38,32,52,58,50,34,50,28,56,56,58,56,60,24,82,84,82,42,46,26,32,32,32,30,30,56,56,60,56,56,60,60,0,0,0,30,32,32,52,52,54,54,0,0,0,108,42,42,42,42,46,46,46,36,36,64,64,64,0,30,36,40,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
